model,character_micro_f1_percent,TP,FN,FP,TN,response_precision_percent,response_sensitivity_percent,response_specificity_percent,response_f1_percent,response_accuracy_percent
Raw Direct,37.42,66,1,133,130,33.165829145728644,98.50746268656717,49.42965779467681,49.62406015037594,59.3939393939394
Original DualGraph v046,35.55,50,17,53,210,48.54368932038835,74.6268656716418,79.84790874524715,58.82352941176471,78.78787878787878
Optimized DualGraph (330-fit gate),47.59,44,23,20,243,68.75,65.67164179104478,92.39543726235742,67.17557251908397,86.96969696969697
